dt;treatment_flag;gross_amt_base;gross_amt_cross;gross_amt_other;unit_cnt_base;unit_cnt_cross;unit_cnt_other
21-11-2019;control;129817589.0;21826268.0;46388837.0;5688.0;1253.0;386.0
22-11-2019;control;82687709.0;11026387.0;35956784.0;986.0;421.0;287.0
23-11-2019;control;77445173.0;13335785.0;38890405.0;991.0;420.0;248.0
24-11-2019;control;140049471.0;37323476.0;89298410.0;2516.0;1815.0;570.0
25-11-2019;control;91007711.0;18604149.0;50447838.0;1163.0;673.0;386.0
26-11-2019;control;124441323.0;22098398.0;62914864.0;1941.0;749.0;492.0
27-11-2019;control;285635894.0;56103149.0;95711810.0;7208.0;3409.0;928.0
28-11-2019;control;290537339.0;57978307.0;98107524.0;7758.0;3160.0;890.0
29-11-2019;control;16.818.615.183.333.300;34240544.0;72561808.5;35.961.666.666.666.600;17.043.333.333.333.300;5.856.666.666.666.660
30-11-2019;control;552527212.0;72121625.0;220110477.0;7605.0;2318.0;1432.0
01-12-2019;control;234866807.0;28365002.0;130739929.0;2546.0;842.0;667.0
02-12-2019;control;226170022.0;39640521.0;93792106.0;4011.0;1202.0;1002.0
03-12-2019;control;267010477.0;43110522.0;124987455.0;5870.0;2252.0;935.0
